time,load,mises,pe_eff,pe_xx,strain_xx,stress_xx
5.4099999999999,5.436e-05,139.56713178296,3.691410852708e-05,3.691410852708e-05,5.436e-05,139.56713178336
5.4199999999999,5.432e-05,139.24713178296,3.691410852708e-05,3.691410852708e-05,5.432e-05,139.24713178336
5.4299999999999,5.428e-05,138.92713178296,3.691410852708e-05,3.691410852708e-05,5.428e-05,138.92713178336
5.4399999999999,5.424e-05,138.60713178296,3.691410852708e-05,3.691410852708e-05,5.424e-05,138.60713178336
5.4499999999999,5.42e-05,138.28713178296,3.691410852708e-05,3.691410852708e-05,5.42e-05,138.28713178336
5.4599999999999,5.416e-05,137.96713178296,3.691410852708e-05,3.691410852708e-05,5.416e-05,137.96713178336
5.4699999999999,5.412e-05,137.64713178296,3.691410852708e-05,3.691410852708e-05,5.412e-05,137.64713178336
5.4799999999999,5.408e-05,137.32713178296,3.691410852708e-05,3.691410852708e-05,5.408e-05,137.32713178336
5.4899999999999,5.404e-05,137.00713178296,3.691410852708e-05,3.691410852708e-05,5.404e-05,137.00713178336
5.4999999999999,5.4e-05,136.68713178296,3.691410852708e-05,3.691410852708e-05,5.4e-05,136.68713178336
5.5099999999999,5.396e-05,136.36713178296,3.691410852708e-05,3.691410852708e-05,5.396e-05,136.36713178336
5.5199999999999,5.392e-05,136.04713178296,3.691410852708e-05,3.691410852708e-05,5.392e-05,136.04713178336
5.5299999999999,5.388e-05,135.72713178296,3.691410852708e-05,3.691410852708e-05,5.388e-05,135.72713178336
5.5399999999999,5.384e-05,135.40713178296,3.691410852708e-05,3.691410852708e-05,5.384e-05,135.40713178336
5.5499999999999,5.38e-05,135.08713178296,3.691410852708e-05,3.691410852708e-05,5.38e-05,135.08713178336
5.5599999999999,5.376e-05,134.76713178296,3.691410852708e-05,3.691410852708e-05,5.376e-05,134.76713178336
5.5699999999999,5.372e-05,134.44713178296,3.691410852708e-05,3.691410852708e-05,5.372e-05,134.44713178336
5.5799999999999,5.368e-05,134.12713178296,3.691410852708e-05,3.691410852708e-05,5.368e-05,134.12713178336
5.5899999999999,5.364e-05,133.80713178296,3.691410852708e-05,3.691410852708e-05,5.364e-05,133.80713178336
5.5999999999999,5.36e-05,133.48713178296,3.691410852708e-05,3.691410852708e-05,5.36e-05,133.48713178336
5.6099999999999,5.356e-05,133.16713178296,3.691410852708e-05,3.691410852708e-05,5.356e-05,133.16713178336
5.6199999999999,5.352e-05,132.84713178296,3.691410852708e-05,3.691410852708e-05,5.352e-05,132.84713178336
5.6299999999999,5.348e-05,132.52713178296,3.691410852708e-05,3.691410852708e-05,5.348e-05,132.52713178336
5.6399999999999,5.344e-05,132.20713178296,3.691410852708e-05,3.691410852708e-05,5.344e-05,132.20713178336
5.6499999999999,5.34e-05,131.88713178296,3.691410852708e-05,3.691410852708e-05,5.34e-05,131.88713178336
5.6599999999999,5.336e-05,131.56713178296,3.691410852708e-05,3.691410852708e-05,5.336e-05,131.56713178336
5.6699999999999,5.332e-05,131.24713178296,3.691410852708e-05,3.691410852708e-05,5.332e-05,131.24713178336
5.6799999999999,5.328e-05,130.92713178296,3.691410852708e-05,3.691410852708e-05,5.328e-05,130.92713178336
5.6899999999999,5.324e-05,130.60713178296,3.691410852708e-05,3.691410852708e-05,5.324e-05,130.60713178336
5.6999999999999,5.32e-05,130.28713178296,3.691410852708e-05,3.691410852708e-05,5.32e-05,130.28713178336
5.7099999999999,5.316e-05,129.96713178296,3.691410852708e-05,3.691410852708e-05,5.316e-05,129.96713178336
5.7199999999999,5.312e-05,129.64713178296,3.691410852708e-05,3.691410852708e-05,5.312e-05,129.64713178336
5.7299999999999,5.308e-05,129.32713178296,3.691410852708e-05,3.691410852708e-05,5.308e-05,129.32713178336
5.7399999999999,5.304e-05,129.00713178296,3.691410852708e-05,3.691410852708e-05,5.304e-05,129.00713178336
5.7499999999999,5.3e-05,128.68713178296,3.691410852708e-05,3.691410852708e-05,5.3e-05,128.68713178336
5.7599999999999,5.296e-05,128.36713178296,3.691410852708e-05,3.691410852708e-05,5.296e-05,128.36713178336
5.7699999999999,5.292e-05,128.04713178296,3.691410852708e-05,3.691410852708e-05,5.292e-05,128.04713178336
5.7799999999999,5.288e-05,127.72713178296,3.691410852708e-05,3.691410852708e-05,5.288e-05,127.72713178336
5.7899999999999,5.284e-05,127.40713178296,3.691410852708e-05,3.691410852708e-05,5.284e-05,127.40713178336
5.7999999999999,5.28e-05,127.08713178296,3.691410852708e-05,3.691410852708e-05,5.28e-05,127.08713178336
5.8099999999999,5.276e-05,126.76713178296,3.691410852708e-05,3.691410852708e-05,5.276e-05,126.76713178336
5.8199999999999,5.272e-05,126.44713178296,3.691410852708e-05,3.691410852708e-05,5.272e-05,126.44713178336
5.8299999999999,5.268e-05,126.12713178296,3.691410852708e-05,3.691410852708e-05,5.268e-05,126.12713178336
5.8399999999999,5.264e-05,125.80713178296,3.691410852708e-05,3.691410852708e-05,5.264e-05,125.80713178336
5.8499999999999,5.26e-05,125.48713178296,3.691410852708e-05,3.691410852708e-05,5.26e-05,125.48713178336
5.8599999999999,5.256e-05,125.16713178296,3.691410852708e-05,3.691410852708e-05,5.256e-05,125.16713178336
5.8699999999999,5.252e-05,124.84713178296,3.691410852708e-05,3.691410852708e-05,5.252e-05,124.84713178336
5.8799999999999,5.248e-05,124.52713178296,3.691410852708e-05,3.691410852708e-05,5.248e-05,124.52713178336
5.8899999999999,5.244e-05,124.20713178296,3.691410852708e-05,3.691410852708e-05,5.244e-05,124.20713178336
5.8999999999999,5.24e-05,123.88713178296,3.691410852708e-05,3.691410852708e-05,5.24e-05,123.88713178336
5.9099999999999,5.236e-05,123.56713178296,3.691410852708e-05,3.691410852708e-05,5.236e-05,123.56713178336
5.9199999999999,5.232e-05,123.24713178296,3.691410852708e-05,3.691410852708e-05,5.232e-05,123.24713178336
5.9299999999999,5.228e-05,122.92713178296,3.691410852708e-05,3.691410852708e-05,5.228e-05,122.92713178336
5.9399999999999,5.224e-05,122.60713178296,3.691410852708e-05,3.691410852708e-05,5.224e-05,122.60713178336
5.9499999999999,5.22e-05,122.28713178296,3.691410852708e-05,3.691410852708e-05,5.22e-05,122.28713178336
5.9599999999999,5.216e-05,121.96713178296,3.691410852708e-05,3.691410852708e-05,5.216e-05,121.96713178336
5.9699999999999,5.212e-05,121.64713178296,3.691410852708e-05,3.691410852708e-05,5.212e-05,121.64713178336
5.9799999999999,5.208e-05,121.32713178296,3.691410852708e-05,3.691410852708e-05,5.208e-05,121.32713178336
5.9899999999999,5.204e-05,121.00713178296,3.691410852708e-05,3.691410852708e-05,5.204e-05,121.00713178336
5.9999999999999,5.2e-05,120.68713178296,3.691410852708e-05,3.691410852708e-05,5.2e-05,120.68713178336
6.0099999999999,5.196e-05,120.36713178296,3.691410852708e-05,3.691410852708e-05,5.196e-05,120.36713178336
6.0199999999999,5.192e-05,120.04713178296,3.691410852708e-05,3.691410852708e-05,5.192e-05,120.04713178336
6.0299999999999,5.188e-05,119.72713178296,3.691410852708e-05,3.691410852708e-05,5.188e-05,119.72713178336
6.0399999999999,5.184e-05,119.40713178296,3.691410852708e-05,3.691410852708e-05,5.184e-05,119.40713178336
6.0499999999999,5.18e-05,119.08713178296,3.691410852708e-05,3.691410852708e-05,5.18e-05,119.08713178336
6.0599999999999,5.176e-05,118.76713178296,3.691410852708e-05,3.691410852708e-05,5.176e-05,118.76713178336
6.0699999999999,5.172e-05,118.44713178296,3.691410852708e-05,3.691410852708e-05,5.172e-05,118.44713178336
6.0799999999999,5.168e-05,118.12713178296,3.691410852708e-05,3.691410852708e-05,5.168e-05,118.12713178336
6.0899999999999,5.164e-05,117.80713178296,3.691410852708e-05,3.691410852708e-05,5.164e-05,117.80713178336
6.0999999999999,5.16e-05,117.48713178296,3.691410852708e-05,3.691410852708e-05,5.16e-05,117.48713178336
6.1099999999999,5.156e-05,117.16713178296,3.691410852708e-05,3.691410852708e-05,5.156e-05,117.16713178336
6.1199999999999,5.152e-05,116.84713178296,3.691410852708e-05,3.691410852708e-05,5.152e-05,116.84713178336
6.1299999999999,5.148e-05,116.52713178296,3.691410852708e-05,3.691410852708e-05,5.148e-05,116.52713178336
6.1399999999999,5.144e-05,116.20713178296,3.691410852708e-05,3.691410852708e-05,5.144e-05,116.20713178336
6.1499999999999,5.14e-05,115.88713178296,3.691410852708e-05,3.691410852708e-05,5.14e-05,115.88713178336
6.1599999999999,5.136e-05,115.56713178296,3.691410852708e-05,3.691410852708e-05,5.136e-05,115.56713178336
6.1699999999999,5.132e-05,115.24713178296,3.691410852708e-05,3.691410852708e-05,5.132e-05,115.24713178336
6.1799999999999,5.128e-05,114.92713178296,3.691410852708e-05,3.691410852708e-05,5.128e-05,114.92713178336
6.1899999999999,5.124e-05,114.60713178296,3.691410852708e-05,3.691410852708e-05,5.124e-05,114.60713178336
6.1999999999999,5.12e-05,114.28713178296,3.691410852708e-05,3.691410852708e-05,5.12e-05,114.28713178336
6.2099999999999,5.116e-05,113.96713178296,3.691410852708e-05,3.691410852708e-05,5.116e-05,113.96713178336
6.2199999999999,5.112e-05,113.64713178296,3.691410852708e-05,3.691410852708e-05,5.112e-05,113.64713178336
6.2299999999999,5.108e-05,113.32713178296,3.691410852708e-05,3.691410852708e-05,5.108e-05,113.32713178336
6.2399999999999,5.104e-05,113.00713178296,3.691410852708e-05,3.691410852708e-05,5.104e-05,113.00713178336
6.2499999999999,5.1e-05,112.68713178296,3.691410852708e-05,3.691410852708e-05,5.1e-05,112.68713178336
6.2599999999999,5.096e-05,112.36713178296,3.691410852708e-05,3.691410852708e-05,5.096e-05,112.36713178336
6.2699999999999,5.092e-05,112.04713178296,3.691410852708e-05,3.691410852708e-05,5.092e-05,112.04713178336
6.2799999999999,5.088e-05,111.72713178296,3.691410852708e-05,3.691410852708e-05,5.088e-05,111.72713178336
6.2899999999999,5.084e-05,111.40713178296,3.691410852708e-05,3.691410852708e-05,5.084e-05,111.40713178336
6.2999999999999,5.08e-05,111.08713178296,3.691410852708e-05,3.691410852708e-05,5.08e-05,111.08713178336
6.3099999999999,5.076e-05,110.76713178296,3.691410852708e-05,3.691410852708e-05,5.076e-05,110.76713178336
6.3199999999999,5.072e-05,110.44713178296,3.691410852708e-05,3.691410852708e-05,5.072e-05,110.44713178336
6.3299999999999,5.068e-05,110.12713178296,3.691410852708e-05,3.691410852708e-05,5.068e-05,110.12713178336
6.3399999999999,5.064e-05,109.80713178296,3.691410852708e-05,3.691410852708e-05,5.064e-05,109.80713178336
6.3499999999999,5.06e-05,109.48713178296,3.691410852708e-05,3.691410852708e-05,5.06e-05,109.48713178336
6.3599999999999,5.056e-05,109.16713178296,3.691410852708e-05,3.691410852708e-05,5.056e-05,109.16713178336
6.3699999999999,5.052e-05,108.84713178296,3.691410852708e-05,3.691410852708e-05,5.052e-05,108.84713178336
6.3799999999999,5.048e-05,108.52713178296,3.691410852708e-05,3.691410852708e-05,5.048e-05,108.52713178336
6.3899999999999,5.044e-05,108.20713178296,3.691410852708e-05,3.691410852708e-05,5.044e-05,108.20713178336
6.3999999999999,5.04e-05,107.88713178296,3.691410852708e-05,3.691410852708e-05,5.04e-05,107.88713178336
6.4099999999999,5.036e-05,107.56713178296,3.691410852708e-05,3.691410852708e-05,5.036e-05,107.56713178336
6.4199999999999,5.032e-05,107.24713178296,3.691410852708e-05,3.691410852708e-05,5.032e-05,107.24713178336
6.4299999999999,5.028e-05,106.92713178296,3.691410852708e-05,3.691410852708e-05,5.028e-05,106.92713178336
6.4399999999999,5.024e-05,106.60713178296,3.691410852708e-05,3.691410852708e-05,5.024e-05,106.60713178336
6.4499999999999,5.02e-05,106.28713178296,3.691410852708e-05,3.691410852708e-05,5.02e-05,106.28713178336
6.4599999999999,5.016e-05,105.96713178296,3.691410852708e-05,3.691410852708e-05,5.016e-05,105.96713178336
6.4699999999999,5.012e-05,105.64713178296,3.691410852708e-05,3.691410852708e-05,5.012e-05,105.64713178336
6.4799999999999,5.008e-05,105.32713178296,3.691410852708e-05,3.691410852708e-05,5.008e-05,105.32713178336
6.4899999999999,5.004e-05,105.00713178296,3.691410852708e-05,3.691410852708e-05,5.004e-05,105.00713178336
6.4999999999999,5e-05,104.68713178296,3.691410852708e-05,3.691410852708e-05,5e-05,104.68713178336
6.5099999999999,4.996e-05,104.36713178296,3.691410852708e-05,3.691410852708e-05,4.996e-05,104.36713178336
6.5199999999999,4.992e-05,104.04713178296,3.691410852708e-05,3.691410852708e-05,4.992e-05,104.04713178336
6.5299999999999,4.988e-05,103.72713178296,3.691410852708e-05,3.691410852708e-05,4.988e-05,103.72713178336
6.5399999999999,4.984e-05,103.40713178296,3.691410852708e-05,3.691410852708e-05,4.984e-05,103.40713178336
6.5499999999999,4.98e-05,103.08713178296,3.691410852708e-05,3.691410852708e-05,4.98e-05,103.08713178336
6.5599999999999,4.976e-05,102.76713178296,3.691410852708e-05,3.691410852708e-05,4.976e-05,102.76713178336
6.5699999999999,4.972e-05,102.44713178296,3.691410852708e-05,3.691410852708e-05,4.972e-05,102.44713178336
6.5799999999999,4.968e-05,102.12713178296,3.691410852708e-05,3.691410852708e-05,4.968e-05,102.12713178336
6.5899999999999,4.964e-05,101.80713178296,3.691410852708e-05,3.691410852708e-05,4.964e-05,101.80713178336
6.5999999999999,4.96e-05,101.48713178296,3.691410852708e-05,3.691410852708e-05,4.96e-05,101.48713178336
6.6099999999999,4.956e-05,101.16713178296,3.691410852708e-05,3.691410852708e-05,4.956e-05,101.16713178336
6.6199999999999,4.952e-05,100.84713178296,3.691410852708e-05,3.691410852708e-05,4.952e-05,100.84713178336
6.6299999999999,4.948e-05,100.52713178296,3.691410852708e-05,3.691410852708e-05,4.948e-05,100.52713178336
6.6399999999999,4.944e-05,100.20713178296,3.691410852708e-05,3.691410852708e-05,4.944e-05,100.20713178336
6.6499999999999,4.94e-05,99.887131782964,3.691410852708e-05,3.691410852708e-05,4.94e-05,99.88713178336
6.6599999999999,4.936e-05,99.567131782964,3.691410852708e-05,3.691410852708e-05,4.936e-05,99.56713178336
6.6699999999999,4.932e-05,99.247131782964,3.691410852708e-05,3.691410852708e-05,4.932e-05,99.24713178336
6.6799999999999,4.928e-05,98.927131782964,3.691410852708e-05,3.691410852708e-05,4.928e-05,98.92713178336
6.6899999999999,4.924e-05,98.607131782964,3.691410852708e-05,3.691410852708e-05,4.924e-05,98.60713178336
6.6999999999999,4.92e-05,98.287131782964,3.691410852708e-05,3.691410852708e-05,4.92e-05,98.28713178336
6.7099999999999,4.916e-05,97.967131782964,3.691410852708e-05,3.691410852708e-05,4.916e-05,97.96713178336
6.7199999999999,4.912e-05,97.647131782964,3.691410852708e-05,3.691410852708e-05,4.912e-05,97.64713178336
6.7299999999999,4.908e-05,97.327131782964,3.691410852708e-05,3.691410852708e-05,4.908e-05,97.32713178336
6.7399999999999,4.904e-05,97.007131782964,3.691410852708e-05,3.691410852708e-05,4.904e-05,97.00713178336
